ant_main,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.1538,0.0,0.0417,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222
0.02,0.069,0.0,0.0833,0.1111,0.1111,0.1111,0.1111,0.2778,0.3333
0.03,0.1034,0.0,0.0444,0.1481,0.1481,0.0741,0.1481,0.2222,0.2593
0.04,0.0667,0.0,0.0444,0.1111,0.1111,0.0556,0.1389,0.1944,0.1944
0.05,0.0889,0.0,0.0444,0.0889,0.0889,0.0444,0.1111,0.1556,0.1556
0.06,0.0806,0.0,0.027,0.0741,0.0741,0.037,0.1111,0.1481,0.1296
0.07,0.0568,0.0,0.027,0.0794,0.0794,0.0317,0.0952,0.127,0.127
0.08,0.0568,0.0,0.027,0.0694,0.0694,0.0694,0.0833,0.1111,0.1111
0.09,0.0682,0.0,0.0182,0.0617,0.0617,0.0864,0.0741,0.0988,0.0988
0.1,0.0531,0.0,0.0182,0.0556,0.0556,0.0778,0.0667,0.0889,0.0889
0.11,0.0531,0.0,0.0545,0.0505,0.0505,0.0707,0.0606,0.0808,0.0808
0.12,0.0619,0.0,0.0545,0.0463,0.0463,0.0648,0.0556,0.0741,0.0741
0.13,0.0429,0.0,0.038,0.0427,0.0427,0.0598,0.0598,0.0684,0.0684
0.14,0.0429,0.0,0.038,0.0476,0.0476,0.0556,0.0635,0.0635,0.0714
0.15,0.0429,0.0,0.0443,0.0444,0.0444,0.0519,0.0593,0.0593,0.0667
